authors;affiliation;location;NEP.AFR;NEP.ENV;NEP.DEV;sum_publi;country;city
Mathilde Almlund; Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;9;United Kingdom;Oxford
Grace Armijos Bravo;(90%) Institut d'Economia de Barcelona (IEB)Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;0;Spain;Barcelona
Francesco Armillei; Suntory and Toyota International Centres for Economics and Related Disciplines (STICERD)London School of Economics (LSE); London, United Kingdom;NA;NA;NA;4;United Kingdom;London
Isabel Almudi; Facultad de Economía y EmpresaUniversidad de Zaragoza; Zaragoza, Spain;NA;NA;NA;0;Spain;Zaragoza
Angus Armstrong;(47%) National Institute of Economic and Social Research (NIESR); London, United Kingdom;NA;NA;NA;12;United Kingdom;London
Miguel Almunia; Colegio Universitario de Estudios Financieros (CUNEF); Madrid, Spain;NA;NA;NA;60;Spain;Madrid
Mark Armstrong; Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;220;United Kingdom;Oxford
Basil Al-Najjar; Business SchoolUniversity of Huddersfield; Huddersfield, United Kingdom;NA;NA;NA;0;United Kingdom;Huddersfield
Ali al-Nowaihi; School of BusinessLeicester University; Leicester, United Kingdom;NA;NA;NA;115;United Kingdom;Leicester
Marta Aloi; School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;23;United Kingdom;Nottingham
Erik Arnold; Technopolis Group; United Kingdom, Brighton;NA;NA;NA;0;United Kingdom;Brighton
Francesco Addesa; Leeds Beckett University - Carnegie School of Sport; Leeds, United Kingdom;NA;NA;NA;3;United Kingdom;Leeds
Andres Alonso; Banco de España; Madrid, Spain;NA;2;NA;13;Spain;Madrid
Jens Matthias Arnold; Economics DepartmentOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;1;NA;7;87;France;Paris
Marta Alonso; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Navarra; Pamplona, Spain;NA;NA;NA;2;Spain;Pamplona
Irma Alonso Alvarez; Banco de España; Madrid, Spain;NA;NA;NA;13;Spain;Madrid
Peter Martey Addo; Centre de recherche de mathématiques et économie mathématique (CERMSEM)Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;38;France;Paris
Angel Alonso Arroba; Centre de développementOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;NA;NA;0;France;Paris
Cesar Alonso-Borrego; Departamento de EconomíaUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;37;Spain;Madrid
Jaime Alonso-Carrera; Departamento de Fundamentos da Análise Económica e Historia e Instituciócs EconómicasFacultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;NA;2;27;Spain;Vigo
Pablo Alonso Gonzalez; Departamento de EconomíaFacultad de Ciencias Económicas, Empresariales y TurismoUniversidad de Alcalá de Henares; Alcalá de Henares, Spain;NA;NA;NA;8;Spain;Alcalá de Henares
Miguel A Alonso Neira; Departamento de Economía Aplicada IUniversidad Rey Juan Carlos; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Guillaume Arnould; Bank of England; London, United Kingdom;NA;NA;NA;30;United Kingdom;London
Alexandra Arntsen; Economics DivisionNottingham Business SchoolNottingham Trent University; Nottingham, United Kingdom;NA;NA;NA;2;United Kingdom;Nottingham
Jose Antonio Alonso Rodriguez; Departamento de Economía Aplicada, Estructura e HistoriaFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;1;10;Spain;Madrid
Olga Alonso-Villar; Departamento de Economía AplicadaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;NA;NA;91;Spain;Vigo
Janine Aron;(90%) Department of EconomicsOxford University; Oxford, United Kingdom;9;NA;2;83;United Kingdom;Oxford
Rym Aloui; Groupe d'Analyse et de Théorie Économique Lyon St-Étienne (GATE Lyon St-Étienne)Université de Lyon; Lyon, France;NA;NA;NA;3;France;Lyon
Marcel Aloy; Groupement de Recherche en Économie Quantitative d'Aix-Marseille (GREQAM)École d'Économie d'Aix-MarseilleAix-Marseille Université; Marseille, France;NA;NA;NA;9;France;Marseille
Amelie Adeline; Théorie Économique, Modélisation, Application (THEMA)Université de Cergy-Pontoise; Cergy-Pontoise, France;NA;NA;NA;2;France;Cergy-Pontoise
Mohamed Arouri;(80%) Groupe de Recherche en Management (GRM)Institut d'Administration des Entreprises (IAE)Université de Nice-Sophia Antipolis; Nice, France;4;3;4;89;France;Nice
Anwar Seid Adem; Department of EconomicsManagement SchoolLancaster University; Lancaster, United Kingdom;NA;NA;NA;0;United Kingdom;Lancaster
Anil Alpman; Centre d'Économie de la SorbonneUniversité Paris 1 (Panthéon-Sorbonne); Paris, France;NA;NA;NA;2;France;Paris
Aynur Alptekin; School of EconomicsUniversity of Surrey; Guildford, United Kingdom;NA;NA;NA;0;United Kingdom;Guildford
Jose Maria Arranz; Departamento de EconomíaFacultad de Ciencias Económicas, Empresariales y TurismoUniversidad de Alcalá de Henares; Alcalá de Henares, Spain;NA;NA;NA;7;Spain;Alcalá de Henares
Matilde Arranz; Facultade de Economía e EmpresaUniversidade da Coruña; A Coruña, Spain;NA;NA;NA;0;Spain;A Coruña
Maria Arrazola; Departamento de Fundamentos del Analisis EconómicoUniversidad Rey Juan Carlos; Madrid, Spain;NA;NA;NA;6;Spain;Madrid
Gerardo Arregui-Ayastuy;"Instituto de Economía Aplicada a la Empresa (Institute of Applied Business Economics)
Universidad del País Vasco - Euskal Herriko Unibertsitatea (University of the Basque Country)"; Bilbao, Spain;NA;NA;NA;0;Spain;Bilbao
Ivan Arribas;Instituto Valenciano de Investigaciones Económicas (IVIE) (Valencian Institute of Economic Research); Valencia, Spain;NA;NA;NA;45;Spain;Valencia
Abdullah Meshal Alsabah; Centre for Global Health EconomicsInstitute of Global HealthUniversity College London (UCL); London, United Kingdom;NA;NA;NA;0;United Kingdom;London
Yves Arrighi;(88%) Lille Économie et Management (LEM); Lille, France;NA;NA;NA;0;France;Lille
Morakinyo O Adetutu; School of Business and EconomicsLoughborough University; Loughborough, United Kingdom;1;1;NA;5;United Kingdom;Loughborough
Olutomi Ibukunolu Adeyemi; Surrey Energy Economics Centre (SEEC)School of EconomicsUniversity of Surrey; Guildford, United Kingdom;NA;NA;NA;4;United Kingdom;Guildford
Majid M Al-Sadoon; Department of Economics and FinanceBusiness SchoolDurham University; Durham, United Kingdom;NA;NA;NA;30;United Kingdom;Durham
Christine Marie Arriola; Trade and Agriculture DirectorateOrganisation de Coopération et de Développement Économiques (OCDE); Paris, France;NA;3;NA;11;France;Paris
Luc Arrondel; Paris School of Economics; Paris, France;NA;NA;NA;59;France;Paris
Rasha Alsakka; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;4;United Kingdom;Bangor
Samer Al-Samarrai; Institute of Development StudiesUniversity of Sussex; Brighton, United Kingdom;3;NA;3;22;United Kingdom;Brighton
Roshan Adhikari; Global Development Institute (GDI)University of Manchester; Manchester, United Kingdom;NA;NA;NA;0;United Kingdom;Manchester
Danae Arroyos-Calvera; Department of EconomicsUniversity of Birmingham; Birmingham, United Kingdom;NA;NA;NA;4;United Kingdom;Birmingham
Abdullah Mohammed Sr Alshahrani;(50%) Centre for Real Estate and Planning ResearchHenley Business SchoolUniversity of Reading; Reading, United Kingdom;NA;NA;NA;0;United Kingdom;Reading
Benito Arrunada; Departament d'Economia i EmpresaUniversitat Pompeu FabraBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;1;156;Spain;Barcelona
Stephane Adjemian; Groupe d'Analyse des Itinéraires et Niveaux Salariaux (GAINS)Faculté des Sciences Économiques et du DroitUniversité du Maine; Le Mans, France;NA;NA;NA;15;France;Le Mans
Lukas Altermatt;(99%) Economics DepartmentUniversity of Essex; Colchester, United Kingdom;NA;NA;NA;30;United Kingdom;Colchester
Jeffrey Althouse; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;0;France;Paris
Nick Adnett; Economics DivisionBusiness SchoolStaffordshire University; Stoke-on-Trent, United Kingdom;NA;NA;NA;14;United Kingdom;Stoke-on-Trent
Josu Arteche; Departamento de Economía Aplicada III (Econometría y Estadística)Facultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;3;Spain;Bilbao
Laura P Altinger;Development Assistance Research Associates; Spain, Madrid;NA;1;NA;3;Spain;Madrid
Fabrizio Adriani; School of BusinessLeicester University; Leicester, United Kingdom;NA;NA;NA;32;United Kingdom;Leicester
Nadir Altinok; Bureau d'Économie Théorique et Appliquée (BETA); Nancy/Strasbourg, France;1;NA;1;26;France;Nancy
Pawel Adrjan; Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;18;United Kingdom;Oxford
Miguel Artiach; Departamento de Fundamentos del Análisis EconómicoFacultad de Ciencias Económicas y EmpresarialesUniversidad de Alicante; Alicante, Spain;NA;NA;NA;5;Spain;Alicante
Miriam Artiles; Departament d'Economia i EmpresaUniversitat Pompeu FabraBarcelona School of Economics (BSE); Barcelona, Spain;NA;NA;1;4;Spain;Barcelona
Arun N Advani;(80%) Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;NA;86;United Kingdom;Coventry
Inaki Arto; Basque Centre for Climate Change (BC3); Bilbao, Spain;NA;5;NA;21;Spain;Bilbao
Romain Aeberhardt; Centre de Recherche en Économie et Statistique (CREST); Palaiseau, France;1;NA;NA;9;France;Palaiseau
Yener Altunbas; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;2;NA;91;United Kingdom;Bangor
James Altunkaya; Health Economics Research Centre (HERC)Oxford University; Oxford, United Kingdom;NA;NA;NA;0;United Kingdom;Oxford
Philippe Artzner;Institut de Recherche Mathématique Avancée; France, Strasbourg;NA;NA;NA;0;France;Strasbourg
Marc Artzrouni; Transitions Energétiques et Environnementales (TREE)Faculté de Droit d'Économie et de GestionUniversité de Pau et des Pays de l'Adour; Pau, France;NA;NA;NA;5;France;Pau
Fahad M Alturki; Barclays Capital (Barclays Capital); United Kingdom, London;NA;NA;NA;0;United Kingdom;London
Amaia Altuzarra; Departamento de Economía Aplicada VFacultad de Economía y EmpresaUniversidad del País Vasco - Euskal Herriko Unibertsitatea; Bilbao, Spain;NA;NA;NA;4;Spain;Bilbao
Wiji Arulampalam;(83%) Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;5;83;United Kingdom;Coventry
Thankom Gopinath Arun; Essex Business SchoolUniversity of Essex; Colchester, United Kingdom;5;NA;8;34;United Kingdom;Colchester
Dincer Afat; Departament de Teoria EconómicaFacultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;3;Spain;Barcelona
Komivi Afawubo;(50%) Centre Européen de Recherche en Économie Financière et en Gestion des Entreprises (CEREFIGE)Unité de Formation et de Recherche Droit, Sciences Économiques et GestionUniversité de Lorraine; Nancy, France;NA;NA;NA;4;France;Nancy
Facundo Alvaredo;(34%) Department of EconomicsOxford University; Oxford, United Kingdom;1;1;2;57;United Kingdom;Oxford
Kai Arvai; Banque de France; Paris, France;NA;NA;NA;2;France;Paris
Antonio M Alvarez;(50%) Departamento de EconomíaFacultad de Economía y EmpresaUniversidad de Oviedo; Oviedo, Spain;NA;NA;NA;16;Spain;Oviedo
Begonya Alvarez;(50%) Departamento de Economía AplicadaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;NA;NA;6;Spain;Vigo
Rigas Arvanitis; Institut de Recherche pour le Développement (IRD); Paris, France;NA;NA;NA;0;France;Paris
Theodoros Arvanitopoulos; Institute for Sustainable ResourcesUniversity College London (UCL); London, United Kingdom;NA;1;NA;3;United Kingdom;London
Inmaculada C Alvarez;(80%) Departamento de Análisis Económico: Teoría Económica e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad Autónoma de Madrid; Madrid, Spain;NA;1;1;62;Spain;Madrid
Isabel Alvarez;(90%) Departamento de Economía Aplicada, Estructura e HistoriaFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;12;Spain;Madrid
Jaime Alvarez; Departamento de Administración Financiera y ContabilidadFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;0;Spain;Madrid
Lia Alvarez; EconometriaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Santiago de Compostela; Santiago de Compostela, Spain;NA;NA;NA;0;Spain;Santiago de Compostela
Luis J Alvarez; Banco de España; Madrid, Spain;NA;NA;NA;71;Spain;Madrid
Sebastian Alvarez; Economic and Social HistoryOxford University; Oxford, United Kingdom;NA;NA;NA;4;United Kingdom;Oxford
Jose Luis Alvarez Arce; Facultad de Ciencias Económicas y EmpresarialesUniversidad de Navarra; Pamplona, Spain;NA;NA;NA;0;Spain;Pamplona
Francisco Alvarez Gonzalez;(90%) Departamento de Análisis Económico y Economía CuantitativaFacultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;2;NA;10;Spain;Madrid
Maria Teresa Alvarez Martinez; Joint Research CentreEuropean Commission; Sevilla, Spain;NA;NA;NA;26;Spain;Sevilla
Mikel Alvarez-Mozos; Facultat d'Economia i EmpresaUniversitat de Barcelona; Barcelona, Spain;NA;NA;NA;25;Spain;Barcelona
Carlos Alvarez-Nogal;(50%) Instituto Figuerola de Historia y Ciencias SocialesUniversidad Carlos III de Madrid; Madrid, Spain;NA;NA;NA;40;Spain;Madrid
Bina Agarwal; Institute for Development Policy and Management (IDPM)School of Environment and DevelopmentUniversity of Manchester; Manchester, United Kingdom;NA;1;NA;7;United Kingdom;Manchester
Xose Carlos Alvarez Villamarin;(34%) Departamento de Economía AplicadaFacultade de Ciencias Económicas e EmpresariaisUniversidade de Vigo; Vigo, Spain;NA;1;NA;2;Spain;Vigo
Carolina Alves; Faculty of EconomicsUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;NA;5;United Kingdom;Cambridge
Matthew Agarwala; Bennett Institute for Public PolicyUniversity of Cambridge; Cambridge, United Kingdom;NA;6;NA;15;United Kingdom;Cambridge
Miqdad Asaria; London School of Economics (LSE); London, United Kingdom;NA;NA;NA;30;United Kingdom;London
Vasco F Alves; Department of EconomicsUniversity of Birmingham; Birmingham, United Kingdom;NA;NA;NA;7;United Kingdom;Birmingham
Guido Ascari;(66%) Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;165;United Kingdom;Oxford
Pierre-Richard Agenor; School of EconomicsUniversity of Manchester; Manchester, United Kingdom;3;NA;28;286;United Kingdom;Manchester
Javier Asensio; Departament d'Economia AplicadaUniversitat Autònoma de Barcelona; Barcelona, Spain;NA;NA;NA;0;Spain;Barcelona
Ramadan Jose Aly Tovar; Centre d'Économie de l'Université Paris-Nord (CEPN)Université Paris-13; Paris, France;NA;NA;NA;0;France;Paris
Alia Aghajanian; Institute of Development StudiesUniversity of Sussex; Brighton, United Kingdom;NA;NA;NA;2;United Kingdom;Brighton
Elliott Ash; Department of EconomicsUniversity of Warwick; Coventry, United Kingdom;NA;NA;1;40;United Kingdom;Coventry
Edouard D Aghion; Department of EconomicsAmerican University of Paris; Paris, France;NA;NA;NA;0;France;Paris
Philippe Aghion;(50%) Centre for Economic Performance (CEP)London School of Economics (LSE); London, United Kingdom;3;10;24;449;United Kingdom;London
Isabelle Agier;"Institut d'Études du Développement Économique et Social (IEDES) (Sorbonne Institute of Development Studies)
Université Paris 1 (Panthéon-Sorbonne) (University of Paris 1)"; Nogent-sur-Marne, France;NA;NA;2;16;France;Nogent-sur-Marne
Brian Kemp Ashcroft; Economics DepartmentUniversity of Strathclyde; Glasgow, United Kingdom;NA;NA;NA;3;United Kingdom;Glasgow
Francisco Javier Amador;"Facultad de Economía, Empresa y Turismo (Faculty of Economics, Business and Tourism)
Universidad de La Laguna (University of La Laguna)"; La Laguna, Spain;NA;NA;NA;2;Spain;La Laguna
Panayiotis Agisilaou;(50%) School of EconomicsUniversity of East Anglia; Norwich, United Kingdom;NA;NA;NA;2;United Kingdom;Norwich
Luis Amador; Departamento de EconomíaUniversidad Loyola Andalucía; Sevilla, Spain;NA;NA;NA;3;Spain;Sevilla
Betty Agnani; Departamento de Teoría e Historia EconómicaFacultad de Ciencias Económicas y EmpresarialesUniversidad de Granada; Granada, Spain;NA;1;1;11;Spain;Granada
Damoun Ashournia; Department of EconomicsOxford University; Oxford, United Kingdom;NA;NA;NA;6;United Kingdom;Oxford
Pablo Agnese;(90%) Administracio i Direccio d'EmpresesUniversitat Internacional de Catalunya (UIC); Barcelona, Spain;NA;NA;NA;18;Spain;Barcelona
Joseph Amankwah-Amoah; School of EconomicsUniversity of Bristol; Bristol, United Kingdom;NA;NA;NA;0;United Kingdom;Bristol
Juergen Amann; School of EconomicsUniversity of Nottingham; Nottingham, United Kingdom;NA;NA;NA;3;United Kingdom;Nottingham
Noriko Amano-Patino; Faculty of EconomicsUniversity of Cambridge; Cambridge, United Kingdom;NA;NA;NA;6;United Kingdom;Cambridge
Arvind Ashta;(90%) Centre de Recherche sur les Entreprises (CEREN)Burgundy School of Business; Dijon, France;NA;NA;1;35;France;Dijon
Jeanne Amar; Groupe de REcherche en Droit, Économie, Gestion (GREDEG)Institut Supérieur d'Économie et Management (ISEM)Université de Nice-Sophia Antipolis; Nice, France;NA;1;NA;2;France;Nice
John K Ashton; Bangor Business SchoolBangor University; Bangor, United Kingdom;NA;NA;NA;24;United Kingdom;Bangor
Sofia Amaral; European Centre for Analysis in the Social Sciences (ECASS)Institute for Social and Economic Research (ISER)University of Essex; Colchester, United Kingdom;NA;NA;4;10;United Kingdom;Colchester
Teodosio Francisco Amaral; Instituto Complutense de Analisis Economico (ICAE)Facultad de Ciencias Económicas y EmpresarialesUniversidad Complutense de Madrid; Madrid, Spain;NA;NA;NA;148;Spain;Madrid
